holeIndex,pixelX,pixelY,refX,refY
1,131.118116262851,108.408078788532,-2.64477411008049,-3.1238139630544
2,383.337770581283,109.988715353009,2.67548422319894,-3.09047241052246
3,254.988421620229,141.342856343038,-0.0318848564483032,-2.42909599901404
4,317.122254676179,171.11574368585,1.27875068457565,-1.80107415662659
5,192.187409092677,171.805892155135,-1.35659371445135,-1.78651633735262
6,254.525080505974,202.892370722087,-0.0416584580771016,-1.13078593008098
7,160.04556324233,232.286984184416,-2.03458577535711,-0.510743302359965
8,286.471935331297,233.030579500031,0.632220510894556,-0.495058088671223
9,222.743086614052,233.036424953825,-0.712059891734834,-0.494934786130248
10,349.801671353306,233.109024978362,1.96808213010881,-0.493403379362671
11,253.707846482957,263.777988112322,-0.0588969882501296,0.153520061744286
12,316.988380960994,293.78337976087,1.27592678589597,0.786446291830851
13,190.625339506342,293.891507261573,-1.3895436197881,0.788727106298799
14,252.188327296131,323.365239037434,-0.0909493460972381,1.41043863594587
15,382.204445571476,353.922343910068,2.65157814877331,2.05500256685299
16,126.303043089096,354.574051822747,-2.74634205983937,2.06874953063607
