target_index,achieved_index,predicted_x_ref_um,predicted_y_ref_um,achieved_x_ref_um,achieved_y_ref_um,residual_measured_um,fit_corrected_achieved_x_ref_um,fit_corrected_achieved_y_ref_um,fit_residual_after_candidate_um
1,1,-2.601345156,-2.601345156,-2.64477411008049,-3.1238139630544,0.524270663300334,-2.53508138341269,-2.64023194921516,0.0768314404658777
3,2,2.601345156,-2.601345156,2.67548422319894,-3.09047241052246,0.494714132001312,2.6409970032312,-2.60660726900352,0.0399994852730455
10,3,0,-1.951008867,-0.0318848564483032,-2.42909599901404,0.479149193746731,0.00699810694226378,-1.93961462325936,0.01337169739399
6,4,1.300672578,-1.300672578,1.27875068457565,-1.80107415662659,0.500881532204267,1.28211519180754,-1.30625978484933,0.0193802338136931
8,5,-1.300672578,-1.300672578,-1.35659371445135,-1.78651633735262,0.489051461508807,-1.2818109055101,-1.29157834440959,0.0209396221005391
9,6,0,-0.6503362889,-0.0416584580771016,-1.13078593008098,0.482252304131655,-0.00251062834490179,-0.630279647282648,0.0202131671851079
11,7,-1.951008867,0,-2.03458577535711,-0.510743302359965,0.517536298742509,-1.94142926103594,-0.00497178092774109,0.0107929354681709
15,8,0.6503362889,0,0.632220510894556,-0.495058088671223,0.495389435264365,0.653106100769457,0.0108466274631117,0.011194694507476
12,9,-0.6503362889,0,-0.712059891734834,-0.494934786130248,0.498768729642012,-0.654744063970559,0.0109709770567783,0.0118233167365589
16,10,1.951008867,0,1.96808213010881,-0.493403379362671,0.49369868450269,1.95276563262152,0.0125153881271505,0.0126380839300181
13,11,0,0.6503362889,-0.0588969882501296,0.153520061744286,0.50029513168746,-0.0192819912856781,0.664932332653072,0.0241834588341406
7,12,1.300672578,1.300672578,1.27592678589597,0.786446291830851,0.514821355048692,1.27936782128409,1.30323320553042,0.0214580864028871
5,13,-1.300672578,1.300672578,-1.3895436197881,0.788727106298799,0.51960199004995,-1.31386786255458,1.30553338807391,0.0140621125386999
14,14,0,1.951008867,-0.0909493460972381,1.41043863594587,0.548167819428895,-0.0504657245370538,1.93252432823033,0.0537444650785282
4,15,2.601345156,2.601345156,2.65157814877331,2.05500256685299,0.548647043443069,2.61773878767239,2.58256172621745,0.0249312734092347
2,16,-2.601345156,2.601345156,-2.74634205983937,2.06874953063607,0.551980255335097,-2.63389682367696,2.59642542559511,0.0329213428615594
